"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Central African Republic","CAF","GNI (constant LCU)","NY.GNP.MKTP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","854307599192.804","900413381933.482","937511320862.233","985104164690.837","628884026356.016","630056547980.804","658523498492.226","690470805725.055","742894581482.741","793312820462.523","816865637404.088","810966181230.096","827157001736.542","820573383541.727","","",
"Canada","CAN","GNI (constant LCU)","NY.GNP.MKTP.KN","","","","","","","","","","","547969945000","574119245000","608827780000","661018403000","701096426000","711081027000","747380177000","762733136000","781629801000","818880019000","836338443000","851744391000","817693812000","845028426000","889961370000","930062337000","938677932000","987459283000","1035303047000","1062583263000","1057062471000","1033365017000","1035892949000","1060786926000","1104658729000","1146978264000","1173658499000","1222273460000","1247055475000","1318607588000","1422736223000","1439269580000","1471244674000","1525469416000","1600357307000","1672948868000","1729822023000","1783739314000","1827581523000","1715243646000","1791499317000","1867644609000","1894112555000","1947141415000","1991627614000","1959949000000","1978938400000","2062201326000","2113845262000","2158504659000","2038918568000","2226479872000","2334828645000","2313296826000","",
"Central Europe and the Baltics","CEB","GNI (constant LCU)","NY.GNP.MKTP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","GNI (constant LCU)","NY.GNP.MKTP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","469767829000","471933795000","486413202000","505024085000","518112730000","539524580000","534938371000","533386997000","556909973000","567539880000","591272352000","608338259000","590756130000","563079074000","601753030000","647720778000","631738482000","647355285000","652198349000","654170927000","674757994000","668709086000","666241887000","669406758000","678062805000","650592253000","706524124000","730860687000","","",
"Channel Islands","CHI","GNI (constant LCU)","NY.GNP.MKTP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","GNI (constant LCU)","NY.GNP.MKTP.KN","19191580542771.5","20232507760445.8","21034774722392.6","22266968217683.2","22817231428821.4","22960875045652.7","25423318535024.4","26239661438813.9","27184739354140","28302447105895.2","28986294522721.5","32040285562955.5","31880414143388.4","30232746664401.2","30847782099728.9","26299095300878.9","27431621751456.4","30454775390460.9","32689985447045.5","35427849587141.9","38251571708867.7","40428595087302.9","34993321605468.9","32886322533286.2","33906678313436.6","34764413969931.4","37128817782396.8","40275039960713","43223830951153.4","47920619473478","50133099878164.5","54100748884990.6","60648688991055.9","65038611886461.2","67648915123821.5","73998793219679.3","79462660365519.4","85445875071248.1","89648115034339.6","88912064323184.8","92795028685041.9","95922065932597.8","98513992163438.1","101965153888871","106048977059249","111364434126448","113550034604489","120460927871584","128740339427924","128617182084198","136156329135073","141082813186630","155392927095495","162348851705357","165362965799278","172401528186344","174804602887582","175031010300614","181670425612400","183524854503050","167481813400849","187293808779801","193329277739108","193009403896914","",
"China","CHN","GNI (constant LCU)","NY.GNP.MKTP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12518836976546.5","13779003029371.6","15093102705968.6","16206185912399.6","17493828102341","18997138954398.9","20533867828663.8","22494633389507","24845391408104.5","27448828549438.2","30441573929215.6","34489049676841.6","39560961176644","43551095516957.2","47267203966284.2","52152388316827.7","56839204968658.2","61753202458247","66157581494617.1","71752014637011.8","76333480655926","81544278722911.9","87536436942502","93154029125364.8","98859708793237.9","100545131315200","109153804654004","112191633984382","118105146935366","",
"Cote d'Ivoire","CIV","GNI (constant LCU)","NY.GNP.MKTP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13097493125842.1","13751001098681.7","14638964672449.6","13901492615627.8","15167967046696.8","16571583720978.3","24805021203405","26490858734777.3","28379318117127.5","30284679143645.3","31805542486557.9","33943132788894.3","34099592200897.5","36463695354181.8","38669764710754.8","40729083236801.3","",
"Cameroon","CMR","GNI (constant LCU)","NY.GNP.MKTP.KN","","","","","","","","2624037600297.76","2824608084383.32","3034158617504.53","3155624474118.97","3331293387877.16","3474199240240.99","3459434318254.16","3863506015020.43","4393034831752.65","4138175795594.28","4154621593466.36","5889154200276.83","6421875222418.43","5665492364754.35","7080516290910.84","7837035093808.88","8432532317687.39","9268897437845.03","10053007110934.4","10901575680765.5","10672021834053.4","9923120652825.95","9626496169327.65","8855928797357.68","8358052274046.8","8189994413739.46","7566850941858.01","7655857463992.27","7865492224924.1","8191200008079.62","8540827088985.66","9043838055796.31","9483220640002.46","9663731496929.9","10018046266056.8","10573172732517.8","11382651303333.1","12319166581138.1","12542457126858.6","13185907952520.2","13639038101796.1","14109923974905.5","14626079815343","14967946934977.4","15469237017292.4","16104413492654.8","16843514383465.3","17797293250933.2","18910075633955.2","19708003000000","20366902300925.9","21166741361851.9","21835346393667.1","21890998768409.5","22743945808221.2","23390222949156.8","24301161707502.9","",
"Congo, Dem. Rep.","COD","GNI (constant LCU)","NY.GNP.MKTP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5085266606968.18","5012385965618.13","5370641518675.66","5042272248479.48","4988613897037.05","4609467152918.27","4613504232065.21","4377889950331.02","4586794706962.38","4879220879489.9","5182739081776.27","5429574624361.36","5777124179086.98","6094337086839.7","6298454733844.87","6640503385361.84","7094810813434.69","7491761500995.69","7954474812590.35","8270412553845.45","9100605443047.83","9901166986716.46","10800684088170.2","11063532720049.7","11572240323256.7","11843083438966.3","12461738080333.2","12957522809810.1","13700252901686.6","15102358503967.3","",
"Congo, Rep.","COG","GNI (constant LCU)","NY.GNP.MKTP.KN","551083992585.72","594945354750.015","627448430406.778","603530786928.132","626724096835.354","649412025242.217","657687505134.147","674527975599.947","724087449258.266","776456616528.915","822705640559.175","887944058086.374","969620328526.254","1027778294697.95","1116972056166.45","1196423136555.62","1202138356957.51","1095421346026.66","1160158533713.25","1257923145061.93","1447469773298.75","1746919720467.45","2124355381453.15","2207714476477.22","2423546891502.08","2405340151231.79","2384030945751.65","2387238233365.07","2241248714240.19","2272213599197.22","2202872758917.35","2281489965353.05","2400604609904.56","2260685536077.55","2196234351453.51","1834474584469.65","1902182487133.84","2132650208793.63","2399351609949.07","2063713422938.04","1989605768293.53","2222074903711.03","2328015466731.3","2324061992760.42","2286160353370.19","2659381940000","3217481050867.79","3009772004894.81","3256678758756.58","3933451484950.16","4234751017992.52","4204095116271.46","4870909710611.67","5016708754469.17","5571945525760.06","5486854770277.04","4888143261184.13","4221726436918.24","4385499672509.12","4245660254960.67","4381758489306.76","3993124752119.67","3984043240050.37","4374305697584.49","",
"Colombia","COL","GNI (constant LCU)","NY.GNP.MKTP.KN","","","","","","","","","120675672895092","127581675817141","134963176482653","143235866416352","154149950742853","164849636681858","175326785085544","177725245393581","186224490610170","195266004839510","212203582039238","224626509225566","234509146949292","238482881958857","237964814987967","240145253815433","245694733038219","251653425485314","265307843109952","278736168937921","293196187744587","298969801911745","315416996339788","323496470610748","337981530665729","359369584933820","384012899328241","404377925145623","411051478137458","424867506017366","429382120489896","411891303992453","421622101468816","427549188074503","437339878977070","451267418364821","474903143375015","502364310172966","535497712280322","569013206914695","584894244736601","594509737599046","617547844665552","654590187971225","683074975681525","720967388125907","758640854744542","794205000000000","812455484500882","818276905566294","832445037149877","861653652779932","810275474772433","891698832677986","950335205671364","967938531191491","",
