"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Botswana","BWA","GNI per capita (constant LCU)","NY.GNP.PCAP.KN","","","","","","","","","","","","","","","","16601.9945251117","17446.2812521424","18538.2646896973","19955.7777056871","21077.0634682648","22067.833200566","24399.2762488114","26181.9570520353","27669.939310958","28033.3953897832","28798.1129873961","30168.4079432571","31499.5298011035","38151.2102595489","41517.1953524419","44938.6030115596","48380.6165680634","48756.4060811851","49680.2527618866","46175.1479150076","49639.0106181666","49533.7880547004","53370.8692505241","54434.833610121","55505.3494310613","54923.1663219704","55399.0748245897","53723.9946341973","56679.7768578016","56622.1791821347","58837.4757136109","63832.5297021475","67234.9153203026","67040.3998789019","58275.7317970729","61188.6718790752","65935.0038513351","66174.3284672081","68383.030286979","72119.4186792124","67450.787571491","67277.4753669372","69491.3221876829","71048.6160078806","79010.6634168938","70988.0311680999","78312.9956147527","81285.1630130159","82195.0089424817","",
"Central African Republic","CAF","GNI per capita (constant LCU)","NY.GNP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","188628.556778679","200403.824605521","205368.45742051","213649.238641316","135464.727840381","136282.012687539","142250.58939374","146482.853297967","154979.217004559","162608.853309942","165200.141930484","161334.035705466","161803.760047053","160958.632042973","","",
"Canada","CAN","GNI per capita (constant LCU)","NY.GNP.PCAP.KN","","","","","","","","","","","25697.333755393","26141.4446987419","27401.8855399674","29389.3365117394","30739.0993910944","30725.1686288998","31871.4838518081","32147.7781000237","32617.9184393672","33835.8585303483","34114.4478345215","34316.9745343608","32555.4684164975","33312.8361551247","34754.540868096","35990.1773136534","35964.2886562358","37337.8523387561","38642.6106143806","38955.5960800507","38173.312739982","36856.6372012831","36512.0478594115","36980.8489970494","38090.8094756316","39142.9284877906","39636.9421866465","40870.5806617466","41354.6118604592","43373.4147956767","46364.7507489638","46396.8378692335","46915.8881896186","48209.5692872941","50106.9844906856","51886.07677538","53108.9549897666","54235.3217436431","54969.3248155083","51003.2746587585","52682.0114049614","54388.0890309073","54564.3131419442","55504.1720313952","56206.5785507088","54893.6159248059","54801.8386630727","56428.9805397855","57019.0415999732","57378.8148356281","53615.3455719345","58224.0530980968","59961.1003666858","57691.4213738767","",
"Central Europe and the Baltics","CEB","GNI per capita (constant LCU)","NY.GNP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","GNI per capita (constant LCU)","NY.GNP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66721.8737319242","66734.1353394091","68616.1167886836","71030.1004177074","72524.2696974282","75098.2468594495","73990.2038132444","73219.6406659224","75883.6213539145","76802.2572187357","79502.9190754748","81285.8930877798","78234.2705059397","73627.4846930603","77707.4073543186","82776.7809184746","79841.5956831292","80951.1738418362","80624.3606096216","79887.5280891879","81468.9365251311","79861.7093923594","78828.0288079282","78621.1993922246","79071.7976555867","75316.0077826696","81167.2572010074","83269.1533911931","","",
"Channel Islands","CHI","GNI per capita (constant LCU)","NY.GNP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","GNI per capita (constant LCU)","NY.GNP.PCAP.KN","2353827.63437991","2430389.06636408","2475535.91453144","2568235.10863063","2580397.72902213","2547546.09935769","2768905.28105996","2806699.39538743","2857125.67291972","2923721.34467728","2944162.69484555","3200923.34056287","3133309.39253197","2923760.95386227","2936257.32294108","2464409.86746912","2531000.78153351","2767227.55105515","2925881.84382063","3124209.87985232","3323752.48913788","3461732.57621559","2952969.59240305","2734570.52740341","2777475.4177075","2804650.7055779","2949326.50921254","3148910.68210404","3325057.39878578","3626227.8730487","3730925.29845292","3959801.24598","4368061.69831864","4611923.06025362","4725321.69890099","5093746.30015412","5393132.36605338","5722166.59864347","5926051.43909829","5803919.81828329","5985372.37783539","6115977.3938526","6212287.6835045","6362978.59017546","6551360.1977677","6811789.48826926","6877987.36428328","7225525.15394817","7645372.71645567","7561388.36553016","7924605.7923279","8130723.21575044","8869905.33573606","9178990.02834946","9256670.4404692","9552588.1209491","9569304.6516261","9431125.34129854","9615656.01133234","9559709.43789279","8646175.43558994","9626366.85717881","9887430.15351211","9817947.1925429","",
"China","CHN","GNI per capita (constant LCU)","NY.GNP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10390.3266173494","11316.9915234459","12270.0670332855","13049.1417927666","13964.5081380667","15045.510776504","16144.8817302856","17568.4421973657","19283.9113692211","21178.4260551574","23349.7790393763","26307.0354966679","30018.5229945283","32877.3118411641","35505.6142048016","38986.4643675756","42258.5322825489","45601.5791419572","48529.6657188882","52302.7237743004","55319.7285637137","58758.3703030803","62695.5282263133","66407.6742460327","70225.5797699426","71253.0163101127","77284.6899190038","79445.9850828559","83720.3584970449","",
"Cote d'Ivoire","CIV","GNI per capita (constant LCU)","NY.GNP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","608776.88355444","625104.036954447","650965.953382364","604886.111549379","646350.902600522","692219.69383498","1011319.0252534","1049294.93289671","1091957.20783633","1132841.72096379","1158073.9200324","1203955.66109649","1179286.27706585","1230230.09901916","1272240.90035443","1306857.96732523","",
"Cameroon","CMR","GNI per capita (constant LCU)","NY.GNP.PCAP.KN","","","","","","","","438999.163219651","461095.536152754","482880.077496216","489259.806340913","502881.674540149","510395.852932299","494440.821514003","537076.72727491","593884.489065022","544642.865493967","532882.839810622","735048.960202781","779387.745463477","665571.734556448","803109.518899979","868015.792988617","915048.187038214","978239.697641015","1029838.67725643","1083618.7955405","1029050.24835269","928699.145643295","874917.683662364","781509.767702621","716372.960222333","682138.399040863","612545.187277461","602590.784360358","602326.652195709","610611.135787224","620014.112955753","639372.751359597","652883.252072094","648023.242641081","654368.38627915","672357.248196551","704357.16719655","741649.933631575","734568.395995747","751316.362778378","755629.733367775","759657.663081529","765203.500608663","761027.89847143","764581.088604265","773896.107531066","786992.733118288","806771.5129413","830722.300001011","840277.467183755","844097.935927821","853278.019687591","856083.473133269","835197.738575788","845004.840964211","846466.789347939","856498.424259322","",
